id;preferred_name;pronunciation;pronunciation_content_type
1;Borders Kids;../fake-data/blob/hipster.png;image/png
2;XML Buckinghamshire;../fake-data/blob/hipster.png;image/png
3;Intelligent;../fake-data/blob/hipster.png;image/png
4;mindshare;../fake-data/blob/hipster.png;image/png
5;customized;../fake-data/blob/hipster.png;image/png
6;mobile;../fake-data/blob/hipster.png;image/png
7;Unbranded Rubber;../fake-data/blob/hipster.png;image/png
8;SDD;../fake-data/blob/hipster.png;image/png
9;Licensed Quality interfaces;../fake-data/blob/hipster.png;image/png
10;turn-key;../fake-data/blob/hipster.png;image/png
